Id,SalePrice
1461,128618.55119592586
1462,158610.97050765133
1463,175955.773632274
1464,187679.4782558354
1465,179665.19771332212
1466,174102.59069318965
1467,175400.6789103675
1468,164818.38160551354
1469,188178.67988844938
1470,121891.68722377285
1471,189833.03491693427
1472,112578.24149679852
1473,108075.82035247501
1474,150868.83347146265
1475,125128.78800960004
1476,304371.221122356
1477,227651.25384742557
1478,259253.01042257485
1479,251977.21851626819
1480,411257.89805588714
1481,288514.10690113687
1482,197773.06082088602
1483,174932.72326986108
1484,156852.36785005665
1485,181649.4101230845
1486,194269.3199730066
1487,302261.5114448434
1488,230708.5848276818
1489,176984.98439430524
1490,199894.19230733888
1491,190693.15788229596
1492,111905.39505547463
1493,190146.70219512706
1494,272411.45354941307
1495,275443.84226686804
1496,200027.5104894818
1497,175878.78492814087
1498,153259.44131564334
1499,153662.953232399
1500,144806.37807578364
1501,156909.51102950698
1502,144485.94858564297
1503,244336.979849821
1504,223442.8281300362
1505,204323.80165077734
1506,193112.7787919992
1507,243192.46766402922
1508,201024.88444292557
1509,164792.91679074764
1510,144046.03726659238
1511,145784.01347488028
1512,167819.47099649257
1513,159664.9977111655
1514,169369.50316036114
1515,213797.72668953193
1516,164926.94562632177
1517,169629.65248002557
1518,148978.51656872415
1519,203599.46098503267
1520,129952.38303522856
1521,133967.30326369245
1522,177122.83166490297
1523,116666.58856473811
1524,127417.63783054471
1525,124791.82727736355
1526,125828.438744412
1527,116260.03153037025
1528,154119.12765984188
1529,137994.70234762458
1530,186772.9813214728
1531,124144.85141152148
1532,110163.29336835678
1533,146592.45042087813
1534,138950.07064695188
1535,163667.90765197447
1536,122943.22797043325
1537,88299.50637295531
1538,179498.77080837794
1539,211732.08102600533
1540,128895.82127110935
1541,157627.97638802987
1542,146106.44891652302
1543,194379.90072102717
1544,99807.47991769586
1545,129494.32281436257
1546,140207.4214981026
1547,136807.3431101041
1548,141372.09376425142
1549,127434.02523528242
1550,137124.15386080634
1551,129812.23847625667
1552,139929.38842201297
1553,151555.93593965494
1554,130281.96957064042
1555,164712.38886698135
1556,108366.17658803165
1557,121071.45394738375
1558,114388.1354820701
1559,102092.25625749708
1560,145884.25439134403
1561,139388.4231689449
1562,130905.56931510167
1563,121486.7512570802
1564,165751.53005782847
1565,151773.41180614222
1566,232270.36919821956
1567,98481.50741997348
1568,211179.1747265279
1569,129130.45360920296
1570,145585.30105093968
1571,131259.22848042642
1572,147207.40278182097
1573,229888.24623031224
1574,133637.65116112283
